x,Power
176,206.49000
177,203.34900
178,206.23500
179,205.57125
180,205.98225
181,205.43250
182,205.42650
183,207.02775
184,205.68525
185,206.90250
186,206.69100
187,208.03050
188,207.77700
189,207.54900
190,207.39300
191,208.73850
192,208.53075
193,206.00775
194,206.50800
195,206.19675
196,206.47275
197,205.75650
198,205.12875
199,207.44025
200,208.04550
201,209.88900
202,209.56725
203,209.54775
204,209.43300
205,208.68600
206,209.76525
207,207.31875
208,212.27100
209,209.38125
210,210.96075
211,209.53875
212,210.41025
213,211.54275
214,208.46925
215,211.04550
216,211.19025
217,209.37675
218,208.02975
219,209.87175
220,207.48075
221,208.92375
222,208.98675
223,209.22525
224,207.54075
225,210.21450
226,211.48425
227,211.11525
228,211.51650
229,210.90375
230,211.90350
231,210.42225
232,211.02600
233,210.79125
234,210.74250
235,210.27000
236,211.68375
237,210.16500
238,211.22925
239,212.59350
240,212.12175
241,212.63325
242,208.87275
243,210.21750
244,209.76450
245,211.18350
246,209.55600
247,209.15250
248,210.05175
249,212.55975
250,212.34075
251,213.00675
252,210.77775
253,211.91400
254,211.22400
255,212.58300
256,210.51750
257,210.34500
258,210.43875
259,210.86550
260,209.75700
261,212.68650
262,211.50600
263,213.31725
264,213.63900
265,211.31625
266,211.12425
267,211.52325
268,212.00175
269,212.11950
270,211.34400
271,211.84800
272,210.19650
273,212.81175
274,212.34600
275,211.97175
276,211.90200
277,212.93400
278,212.95575
279,213.12600
280,214.16625
281,211.67475
282,212.64375
283,212.95050
284,213.10350
285,213.29250
286,213.35775
287,213.69225
288,213.60525
289,212.12025
290,212.42325
291,212.25675
292,210.84525
293,212.65275
294,210.96825
295,210.34425
296,213.02775
297,210.74325
298,210.53775
299,212.26050
300,212.49750
301,211.54125
302,211.82475
303,211.96875
304,211.50825
305,212.55075
306,212.08425
307,213.64950
308,212.88900
309,213.50625
310,213.97275
311,213.48225
312,213.74475
313,211.03950
314,212.99025
315,212.61900
316,211.07700
317,212.01300
318,209.94375
319,210.75300
320,212.20125
321,211.50675
322,213.88575
323,212.04975
324,211.94475
325,211.13025
326,211.93500
327,211.75200
328,212.51100
329,209.97900
330,209.16375
331,211.90575
332,211.66875
333,210.51750
334,211.56900
335,215.05125
336,213.39825
337,213.77625
338,211.71300
339,211.89150
340,214.76475
341,213.43500
342,210.56550
343,211.82100
344,213.72225
345,215.82300
346,213.65175
347,211.96125
348,213.13950
349,213.03375
350,214.98600
351,214.62525
352,211.79325
353,212.66850
354,210.59100
355,210.89400
356,212.08350
357,210.37275
358,213.15975
359,212.52150
360,211.23600
361,211.29300
362,212.13000
363,209.89875
364,212.03175
365,209.95200
366,211.49550
367,211.64775
368,212.73600
369,212.61675
370,214.69800
371,210.73650
372,211.83225
373,212.79675
374,213.01425
375,212.75175
376,212.52300
377,211.49250
378,209.44725
379,212.45775
380,214.52775
381,212.57700
382,214.42950
383,213.57075
384,213.74400
385,212.29575
386,211.47375
387,212.74575
388,211.05300
389,211.93575
390,210.91950
391,211.52400
392,213.06525
393,212.17500
394,215.45625
395,211.39725
396,211.09950
397,212.94075
398,212.00025
399,211.39950
400,212.70075
401,213.39675
402,211.33350
403,211.08900
404,212.71050
405,213.01125
406,214.17975
407,213.70350
408,214.12000
409,211.46325
410,210.71475
411,212.21325
412,211.27650
413,210.56175
414,212.45175
415,210.58125
416,211.87875
417,213.22350
418,211.40925
419,213.07650
420,212.94600
421,211.05975
422,213.83400
423,212.03400
424,213.34425
425,212.10600
426,210.42750
427,213.90750
428,213.12975
429,213.09225
430,212.85825
431,215.52300
432,213.59250
433,213.48600
434,213.43575
435,213.39150
436,211.44150
437,210.36825
438,211.67700
439,211.32300
440,210.55275
441,213.26925
442,210.94425
443,214.53075
444,210.84300
445,211.90125
446,212.81850
447,210.99600
448,210.79800
449,211.32375
